plotnumber,treenumber,common name,dbh
29,14,Benguet Pine, 33.30 
29,15,Benguet Pine, 36.00 
29,16,Benguet Pine, 30.70 
29,17,Benguet Pine, 44.30 
29,18,Benguet Pine, 48.20 
29,19,Benguet Pine, 34.40 
29,20,Benguet Pine, 55.40 
30,1,Benguet Pine, 43.50 
30,2,Alnus, 31.30 
30,3,Gmelina, 30.50 
30,4,Gmelina, 39.30 
30,5,Alnus, 31.40 
30,6,Alnus, 43.10 
30,7,Alnus, 45.00 
30,8,Alnus, 37.50 
30,9,Gmelina, 31.00 
30,10,Gmelina, 49.80 
30,11,Gmelina, 78.40 
30,12,Gmelina, 32.20 
30,13,Gmelina, 38.60 
30,14,Gmelina, 31.30 
30,15,Benguet Pine, 57.60 
30,16,Benguet Pine, 35.60 
30,17,Benguet Pine, 30.20 
31,1,Benguet Pine, 41.80 
31,2,Gmelina, 56.80 
31,3,Gmelina, 32.10 
31,4,Gmelina, 33.60 
31,5,Narra, 48.30 
31,6,Benguet Pine, 30.20 
31,7,Benguet Pine, 46.80 
31,8,Benguet Pine, 52.50 
31,9,Alnus, 31.20 
31,10,Alnus, 34.20 
31,11,Benguet Pine, 31.20 
31,12,Gmelina, 30.20 
31,13,Benguet Pine, 32.80 
31,14,Gmelina, 35.00 
31,15,Alnus, 30.50 
31,16,Gmelina, 30.20 
32,1,Gmelina, 31.90 
32,2,Gmelina, 37.70 
32,3,Gmelina, 41.40 
32,4,Alnus, 33.90 
32,5,Alnus, 44.80 
32,6,Alnus, 37.30 
32,7,Benguet Pine, 49.50 
32,8,Benguet Pine, 43.50 
32,9,Benguet Pine, 49.80 
32,10,Gmelina, 38.00 
32,11,Gmelina, 33.30 
32,12,Gmelina, 38.40 
32,13,Gmelina, 35.10 
32,14,Gmelina, 45.00 
32,15,Gmelina, 36.50 
32,16,Gmelina, 32.60 
33,1,Benguet Pine, 37.40 
33,2,Benguet Pine, 39.30 
33,3,Benguet Pine, 41.10 
